Exercise_Name,Instructions,muscle_gp,Equipment,Description,Rating,Images_URL
Rickshaw Carry,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Other,Average,9.6,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/742/Male/l/742_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/742/Male/l/742_2.jpg']"
Single-Leg Press,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Machine,Average,9.6,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50m-single-leg-leg-press-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50m-single-leg-leg-press-m2-16x9.jpg']"
Landmine twist,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Abdominals,Other,Average,9.5,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-129s-landmine-twist-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-129s-landmine-twist-m3-16x9.jpg']"
Weighted pull-up,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lats,Other,Average,9.5,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-96c-weighted-pull-up-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-96c-weighted-pull-up-m2-16x9.jpg']"
T-Bar Row with Handle,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Middle Back,Other,Average,9.5,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/1931/Male/l/1931_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/1931/Male/l/1931_2.jpg']"
Palms-down wrist curl over bench,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Forearms,Barbell,Average,9.5,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-62e-palms-down-wrist-curl-over-bench-m1-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-62e-palms-down-wrist-curl-over-bench-m2-16x9.jpg']"
Atlas Stones,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Lower Back,Other,Average,9.5,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/l/659_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/l/659_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/l/659_3.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/l/659_4.jpg']"
Dumbbell front raise to lateral raise,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Shoulders,Dumbbell,Average,9.5,"['https://www.bodybuilding.com/images/2020/xdb/originals/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-16x9.jpg', 'https://www.bodybuilding.com/images/2020/xdb/originals/xdb-61d-dumbbell-front-raise-to-lateral-raise-m3-16x9.jpg']"
Clean from Blocks,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Quadriceps,Barbell,Average,9.5,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/l/746_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/l/746_2.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/l/746_3.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/l/746_4.jpg']"
Incline Hammer Curls,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.",Biceps,Dumbbell,Average,9.5,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/l/882_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/l/882_2.jpg']"
